sym_tag,po_tag,eff_tag,n,beta1_OR,poregbias,poregcov,poregp,wpbias,wpcov,wpp,bin7bias,bin7cov,bin7p,linbias,lincov,linp,pobiasz,wpbiasz,bin7biasz,linbiasz,nonPO_d0_bias,nonPO_d15_bias,nonPO_d30_bias,nonPO_d0_Zbias,nonPO_d15_Zbias,nonPO_d30_Zbias,nonPO_d0_cov,nonPO_d15_cov,nonPO_d30_cov,nonPO_d0_pow,nonPO_d15_pow,nonPO_d30_pow,sumnonpoErrFlag,nonPO_pow,nonpoLRTpower,nonpoConvProp
Symmetric,POViolated,attenuatedeffects,300,0.7,0.1774,87%,14%,0.0287,87%,14%,-0.0009,96%,4%,0.0029,96%,12%,-50%,6%,2%,-1%,-0.0108,-0.0063,-0.0085,3%,3%,15%,95%,96%,96%,26%,15%,5%,54,32%,29%,95%
Symmetric,POViolated,attenuatedeffects,300,0.8,0.1852,86%,5%,0.0301,87%,5%,-0.0006,96%,4%,0.0043,95%,5%,-83%,6%,-1%,-7%,-0.0141,-0.0057,-0.0056,6%,8%,-7%,95%,96%,95%,14%,6%,4%,75,19%,22%,93%
Symmetric,POViolated,attenuatedeffects,300,0.9,0.1911,86%,5%,0.031,85%,5%,-0.0009,96%,12%,0.0038,96%,6%,-181%,6%,0%,2%,-0.0094,-0.0027,-0.0075,9%,-6%,-4%,94%,96%,96%,8%,4%,12%,98,21%,20%,90%
Symmetric,POViolated,attenuatedeffects,300,1,0.1951,85%,15%,0.0315,85%,15%,0.0022,96%,25%,0.0025,96%,15%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,96%,96%,5%,10%,25%,109,32%,24%,89%
Heavy0,POMet,strengthenedeffects,600,0.5,-0.0079,95%,98%,0.0316,64%,98%,-0.0197,95%,66%,-0.0027,95%,94%,1%,8%,3%,0%,-0.0087,-0.0070,-0.0263,1%,1%,4%,96%,95%,94%,98%,91%,58%,6,99%,82%,99%
Heavy0,POMet,strengthenedeffects,600,0.6,-0.0077,96%,87%,0.0212,82%,87%,-0.008,95%,45%,-0.0028,95%,78%,2%,5%,2%,0%,-0.0089,-0.0057,-0.0164,2%,1%,3%,96%,95%,94%,85%,74%,39%,6,90%,53%,99%
Heavy0,POMet,strengthenedeffects,600,0.7,-0.0070,96%,60%,0.0135,90%,60%,-0.0057,95%,26%,-0.0029,95%,49%,2%,3%,2%,1%,-0.0082,-0.0041,-0.0096,2%,1%,3%,95%,96%,94%,58%,44%,24%,4,68%,28%,100%
Heavy0,POMet,strengthenedeffects,600,0.8,-0.0055,96%,29%,0.0076,93%,30%,-0.0044,96%,14%,-0.0031,95%,23%,2%,2%,2%,1%,-0.0059,-0.0041,-0.0058,3%,2%,3%,95%,96%,95%,26%,22%,13%,6,36%,12%,99%
Heavy0,POMet,strengthenedeffects,600,0.9,-0.0044,96%,9%,0.0031,95%,9%,-0.0042,94%,7%,-0.0032,95%,10%,4%,1%,4%,2%,-0.0050,-0.0035,-0.0025,5%,3%,2%,96%,96%,95%,8%,9%,8%,6,18%,6%,99%
Heavy0,POMet,strengthenedeffects,600,1,-0.0035,96%,5%,-0.0005,95%,5%,-0.003,95%,5%,-0.0033,95%,5%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,95%,95%,5%,5%,5%,4,11%,5%,100%
Heavy0,POViolated,strengthenedeffects,600,0.5,-0.0495,95%,99%,0.0269,71%,99%,-0.029,95%,89%,-0.0024,95%,99%,7%,7%,3%,0%,-0.0084,-0.0090,-0.0492,1%,1%,5%,96%,95%,95%,98%,98%,84%,2,100%,92%,100%
Heavy0,POViolated,strengthenedeffects,600,0.6,-0.0537,95%,91%,0.0159,88%,91%,-0.0225,95%,78%,-0.0029,95%,92%,11%,4%,3%,0%,-0.0089,-0.0070,-0.0354,2%,1%,4%,96%,95%,95%,85%,89%,69%,5,95%,74%,100%
Heavy0,POViolated,strengthenedeffects,600,0.7,-0.0567,95%,72%,0.0075,93%,72%,-0.0145,95%,63%,-0.0032,95%,78%,16%,2%,2%,1%,-0.0090,-0.0065,-0.0250,3%,1%,4%,95%,96%,95%,59%,73%,54%,8,83%,51%,99%
Heavy0,POViolated,strengthenedeffects,600,0.8,-0.0583,95%,40%,0.0011,95%,40%,-0.0084,95%,46%,-0.0027,95%,53%,26%,0%,2%,1%,-0.0068,-0.0048,-0.0173,3%,1%,3%,95%,96%,94%,27%,48%,39%,8,60%,33%,99%
Heavy0,POViolated,strengthenedeffects,600,0.9,-0.0603,95%,17%,-0.004,95%,17%,-0.0089,95%,31%,-0.0032,95%,30%,57%,-1%,2%,1%,-0.0051,-0.0042,-0.0113,5%,2%,3%,96%,96%,94%,8%,26%,29%,2,39%,22%,100%
Heavy0,POViolated,strengthenedeffects,600,1,0.0627,93%,7%,0.0082,93%,7%,0.0016,95%,24%,-0.0037,95%,14%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,96%,95%,5%,11%,19%,301,24%,31%,70%
Heavy0,POMet,attenuatedeffects,600,0.5,-0.0079,95%,98%,0.0316,64%,98%,-0.0197,95%,66%,-0.0027,95%,94%,1%,8%,3%,0%,-0.0087,-0.0070,-0.0263,1%,1%,4%,96%,95%,94%,98%,91%,58%,6,99%,82%,99%
Heavy0,POMet,attenuatedeffects,600,0.6,-0.0077,96%,87%,0.0212,82%,87%,-0.008,95%,45%,-0.0028,95%,78%,2%,5%,2%,0%,-0.0089,-0.0057,-0.0164,2%,1%,3%,96%,95%,94%,85%,74%,39%,6,90%,53%,99%
Heavy0,POMet,attenuatedeffects,600,0.7,-0.0070,96%,60%,0.0135,90%,60%,-0.0057,95%,26%,-0.0029,95%,49%,2%,3%,2%,1%,-0.0082,-0.0041,-0.0096,2%,1%,3%,95%,96%,94%,58%,44%,24%,4,68%,28%,100%
Heavy0,POMet,attenuatedeffects,600,0.8,-0.0055,96%,29%,0.0076,93%,30%,-0.0044,96%,14%,-0.0031,95%,23%,2%,2%,2%,1%,-0.0059,-0.0041,-0.0058,3%,2%,3%,95%,96%,95%,26%,22%,13%,6,36%,12%,99%
Heavy0,POMet,attenuatedeffects,600,0.9,-0.0044,96%,9%,0.0031,95%,9%,-0.0042,94%,7%,-0.0032,95%,10%,4%,1%,4%,2%,-0.0050,-0.0035,-0.0025,5%,3%,2%,96%,96%,95%,8%,9%,8%,6,18%,6%,99%
Heavy0,POMet,attenuatedeffects,600,1,-0.0035,96%,5%,-0.0005,95%,5%,-0.003,95%,5%,-0.0033,95%,5%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,95%,95%,5%,5%,5%,4,11%,5%,100%
Heavy0,POViolated,attenuatedeffects,600,0.5,0.0401,94%,96%,0.037,54%,96%,-0.0081,95%,30%,-0.0026,95%,80%,-6%,10%,2%,0%,-0.0106,-0.0110,-0.0202,2%,2%,5%,96%,96%,95%,98%,80%,29%,22,98%,90%,98%
Heavy0,POViolated,attenuatedeffects,600,0.6,0.0449,93%,79%,0.0274,72%,80%,-0.0044,95%,13%,-0.0028,95%,47%,-9%,7%,2%,1%,-0.0179,-0.0230,-0.0350,4%,6%,17%,96%,97%,96%,87%,49%,12%,68,88%,75%,93%
Heavy0,POViolated,attenuatedeffects,600,0.7,0.0496,93%,45%,0.0204,83%,45%,-0.0054,95%,5%,-0.0034,95%,20%,-14%,5%,9%,1%,-0.0203,-0.0282,-0.0403,6%,14%,71%,96%,97%,96%,61%,22%,5%,110,63%,53%,89%
Heavy0,POViolated,attenuatedeffects,600,0.8,0.0547,94%,17%,0.0152,89%,17%,-0.002,95%,6%,-0.0035,96%,7%,-24%,3%,-3%,4%,-0.0193,-0.0306,-0.0455,9%,42%,-59%,96%,96%,95%,29%,8%,5%,185,35%,39%,82%
Heavy0,POViolated,attenuatedeffects,600,0.9,0.0589,93%,5%,0.0112,91%,5%,-0.0004,94%,12%,-0.0036,95%,7%,-56%,2%,0%,-4%,-0.0115,-0.0186,-0.0342,11%,-42%,-18%,96%,95%,94%,9%,6%,11%,235,21%,32%,77%
Heavy0,POViolated,attenuatedeffects,600,1,0.0627,93%,7%,0.0082,93%,7%,0.0016,95%,24%,-0.0037,95%,14%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,96%,95%,5%,11%,19%,301,24%,31%,70%
Symmetric,POMet,strengthenedeffects,600,0.5,-0.0080,96%,100%,-0.001,96%,100%,-0.009,96%,98%,-0.0125,94%,100%,1%,0%,1%,1%,-0.0084,-0.0107,-0.0073,1%,2%,1%,95%,94%,95%,96%,99%,97%,0,100%,94%,100%
Symmetric,POMet,strengthenedeffects,600,0.6,-0.0070,95%,94%,-0.0011,95%,94%,-0.0093,96%,86%,-0.0131,95%,94%,1%,0%,2%,1%,-0.0067,-0.0104,-0.0059,1%,2%,1%,94%,95%,95%,77%,92%,84%,0,96%,68%,100%
Symmetric,POMet,strengthenedeffects,600,0.7,-0.0071,95%,72%,-0.0012,95%,72%,-0.0085,95%,59%,-0.0147,95%,73%,2%,0%,2%,2%,-0.0063,-0.0106,-0.0055,2%,3%,2%,94%,95%,96%,48%,67%,57%,0,79%,35%,100%
Symmetric,POMet,strengthenedeffects,600,0.8,-0.0053,95%,37%,-0.0009,95%,37%,-0.0065,96%,27%,-0.0123,95%,38%,2%,0%,3%,3%,-0.0035,-0.0088,-0.0042,2%,4%,2%,94%,95%,96%,21%,35%,26%,0,47%,14%,100%
Symmetric,POMet,strengthenedeffects,600,0.9,-0.0052,95%,13%,-0.0009,95%,13%,-0.0052,96%,8%,-0.0129,95%,12%,5%,0%,5%,6%,-0.0021,-0.0087,-0.0040,2%,8%,4%,93%,95%,96%,9%,12%,10%,0,22%,6%,100%
Symmetric,POMet,strengthenedeffects,600,1,-0.0045,95%,5%,-0.0007,95%,5%,-0.004,95%,5%,-0.012,95%,5%,0%,0%,0%,-1%,-0.0006,-0.0079,-0.0031,0%,-1%,0%,94%,95%,96%,6%,5%,4%,0,13%,5%,100%
Symmetric,POViolated,strengthenedeffects,600,0.5,-0.1593,80%,100%,-0.0241,79%,100%,-0.0094,95%,100%,-0.011,95%,100%,23%,-6%,1%,1%,-0.0084,-0.0111,-0.0083,1%,1%,1%,95%,95%,95%,96%,100%,100%,0,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,600,0.6,-0.1658,78%,100%,-0.026,77%,100%,-0.0096,95%,100%,-0.0116,94%,100%,32%,-6%,1%,1%,-0.0067,-0.0105,-0.0072,1%,2%,1%,94%,94%,95%,77%,99%,100%,0,100%,97%,100%
Symmetric,POViolated,strengthenedeffects,600,0.7,-0.1721,76%,95%,-0.0275,75%,95%,-0.008,96%,96%,-0.0128,95%,96%,48%,-6%,1%,1%,-0.0063,-0.0104,-0.0070,2%,2%,1%,94%,95%,95%,48%,92%,95%,0,98%,85%,100%
Symmetric,POViolated,strengthenedeffects,600,0.8,-0.1768,75%,80%,-0.0286,75%,80%,-0.0098,95%,87%,-0.0134,95%,84%,79%,-6%,2%,2%,-0.0035,-0.0103,-0.0061,2%,3%,1%,94%,95%,96%,21%,70%,86%,0,90%,66%,100%
Symmetric,POViolated,strengthenedeffects,600,0.9,-0.1809,75%,52%,-0.0294,75%,52%,-0.0087,95%,68%,-0.0123,95%,56%,172%,-6%,2%,2%,-0.0021,-0.0088,-0.0057,2%,3%,1%,93%,95%,96%,9%,42%,68%,0,72%,47%,100%
Symmetric,POViolated,strengthenedeffects,600,1,0.1893,75%,25%,0.0307,75%,25%,-0.0068,96%,41%,-0.0121,95%,26%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,94%,94%,96%,6%,16%,46%,12,50%,59%,99%
Symmetric,POMet,attenuatedeffects,600,0.5,-0.0080,96%,100%,-0.001,96%,100%,-0.009,96%,98%,-0.0125,94%,100%,1%,0%,1%,1%,-0.0084,-0.0107,-0.0073,1%,2%,1%,95%,94%,95%,96%,99%,97%,0,100%,94%,100%
Symmetric,POMet,attenuatedeffects,600,0.6,-0.0070,95%,94%,-0.0011,95%,94%,-0.0093,96%,86%,-0.0131,95%,94%,1%,0%,2%,1%,-0.0067,-0.0104,-0.0059,1%,2%,1%,94%,95%,95%,77%,92%,84%,0,96%,68%,100%
Symmetric,POMet,attenuatedeffects,600,0.7,-0.0071,95%,72%,-0.0012,95%,72%,-0.0085,95%,59%,-0.0147,95%,73%,2%,0%,2%,2%,-0.0063,-0.0106,-0.0055,2%,3%,2%,94%,95%,96%,48%,67%,57%,0,79%,35%,100%
Symmetric,POMet,attenuatedeffects,600,0.8,-0.0053,95%,37%,-0.0009,95%,37%,-0.0065,96%,27%,-0.0123,95%,38%,2%,0%,3%,3%,-0.0035,-0.0088,-0.0042,2%,4%,2%,94%,95%,96%,21%,35%,26%,0,47%,14%,100%
Symmetric,POMet,attenuatedeffects,600,0.9,-0.0052,95%,13%,-0.0009,95%,13%,-0.0052,96%,8%,-0.0129,95%,12%,5%,0%,5%,6%,-0.0021,-0.0087,-0.0040,2%,8%,4%,93%,95%,96%,9%,12%,10%,0,22%,6%,100%
